backing_thickness_mm,case_name,conductive_thickness_mm,element_count,log_file,material_case,maximum_time_step,maximum_trial_negative_jacobians,mesh_level,metadata_file,model_file,movement,negative_jacobian_trial_messages,node_count,normal_termination,raw_log_status,sensor_length_mm,sensor_width_mm,summary_file,taper_length_mm,time_steps
,garment_fit_0030bp,,,,garment case,,0,garment surface,model/garment_fit_0030bp_metadata.json,model/garment_fit_0030bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_0030bp_summary.json,,
,garment_fit_0035bp,,,,garment case,,652,garment surface,model/garment_fit_0035bp_metadata.json,model/garment_fit_0035bp.feb,,24,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_0040bp,,,,garment case,,502,garment surface,model/garment_fit_0040bp_metadata.json,model/garment_fit_0040bp.feb,,33,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_0050bp,,,,garment case,,832,garment surface,model/garment_fit_0050bp_metadata.json,model/garment_fit_0050bp.feb,,33,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_0075bp,,,,garment case,,562,garment surface,model/garment_fit_0075bp_metadata.json,model/garment_fit_0075bp.feb,,3,,True,retained by authors; available on reasonable request,,,results/garment_fit_0075bp_summary.json,,
,garment_fit_0100bp,,,,garment case,,0,garment surface,model/garment_fit_0100bp_metadata.json,model/garment_fit_0100bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_0100bp_summary.json,,
,garment_fit_flip_0100bp,,,,garment case,,0,garment surface,model/garment_fit_flip_0100bp_metadata.json,model/garment_fit_flip_0100bp.feb,,0,,False,not generated,,,,,
,garment_fit_geometric_overlap_010mm,,,,garment case,,0,garment surface,model/garment_fit_geometric_overlap_010mm_metadata.json,model/garment_fit_geometric_overlap_010mm.feb,,0,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_geometric_overlap_025mm,,,,garment case,,0,garment surface,model/garment_fit_geometric_overlap_025mm_metadata.json,model/garment_fit_geometric_overlap_025mm.feb,,0,,False,retained by authors; available on reasonable request,,,,,
,garment_fit_inward_0100bp,,,,garment case,,0,garment surface,model/garment_fit_inward_0100bp_metadata.json,model/garment_fit_inward_0100bp.feb,,0,,True,retained by authors; available on reasonable request,,,results/garment_fit_inward_0100bp_summary.json,,
